hotel_name,hotel_price,hotel_score
Auberge Alternative,"US$1,676",8.5
Heart of Downtown Apartment close to everything,"US$1,733",
Apartments Near Montreal Olympic Park,"US$1,950",8.0
Parc Avenue Lofts,"US$2,207",7.2
Drummond by Bouticstay,"US$2,446",6.2
L'éco-logis,"US$2,256",9.7
2314 Rue Duff Court,"US$2,493",9.0
François-Denis Apartments,"US$2,547",9.0
La Fontaine Suites,"US$2,563",8.1
Boutique Notre Dame,"US$2,577",7.8
Golden Castle,"US$2,620",7.9
Sweet Suites in Montreal,"US$2,620",
M Montreal Hostel,"US$2,452",9.0
Prince Arthur Suites,"US$2,708",
Homa Hôtel by Olympic Stadium!,"US$2,731",6.0
Le P'tit Cousin,"US$2,777",8.9
Hotel les Suites Labelle,"US$2,560",8.2
BnbEra - The Rock Apartment,"US$2,796",
Explore Montreal from Sleek Contemporary Apartment by Den Stays,"US$2,803",8.4
APARTMENT HOTEL ST-DENIS,"US$2,811",7.6
Faubourg Papineau,"US$2,841",
Boutique Lofts Notre Dame,"US$2,867",8.8
Trendy Little Italy 3 Bedroom Condo by Den Stays,"US$2,887",9.4
MtlVacationRentals - Appartements Plateau-Mont-Royal,"US$2,679",8.9
Boutique Hotel Saint Francois Xavier,"US$2,955",7.0
